iso_alpha3,year,hisi_score,cluster_raw,cluster_label
BFA,2015,43.78973206939044,2,The Falls
BFA,2016,42.97582622219912,2,The Falls
BFA,2017,45.63956862949416,2,The Falls
BFA,2018,39.05480174293198,2,The Falls
BFA,2019,43.073087585849,2,The Falls
BFA,2020,43.86142204087767,2,The Falls
BFA,2021,49.534671161433785,2,The Falls
BFA,2022,48.165807143095726,2,The Falls
BFA,2023,47.69954683170129,2,The Falls
BFA,2024,47.19899593278918,2,The Falls
BFA,2025,51.925407449065794,2,The Falls
BGD,2000,39.582054781767944,2,The Falls
BGD,2001,51.71567130117628,2,The Falls
BGD,2002,51.22551984432505,2,The Falls
BGD,2003,50.94758808187599,2,The Falls
BGD,2004,50.94663349217438,2,The Falls
BGD,2005,49.98538596635615,2,The Falls
BGD,2006,49.98915101116337,2,The Falls
BGD,2007,49.63640489509217,2,The Falls
BGD,2008,49.843737383503075,2,The Falls
BGD,2009,51.9289113035253,2,The Falls
BGD,2010,51.50599858718569,2,The Falls
BGD,2011,51.081851612662746,2,The Falls
BGD,2012,51.143528758936526,2,The Falls
BGD,2013,51.100670017793234,2,The Falls
BGD,2014,50.51446424368316,2,The Falls
BGD,2015,49.7713182128649,2,The Falls
BGD,2016,49.239516879116735,2,The Falls
BGD,2017,49.74537904014666,2,The Falls
BGD,2018,49.274740758010964,2,The Falls
BGD,2019,47.8551463182551,2,The Falls
BGD,2020,51.289282817420435,2,The Falls
BGD,2021,51.92013864691487,2,The Falls
BGD,2022,51.66094395972759,2,The Falls
BGD,2023,51.68504427115017,2,The Falls
BGD,2024,53.250600530569734,2,The Falls
BGD,2025,53.19680869258923,2,The Falls
BGR,2000,38.887030147941154,2,The Falls
BGR,2001,48.244468336847554,2,The Falls
BGR,2002,48.402785399793686,2,The Falls
BGR,2003,55.379129311297135,2,The Falls
BGR,2004,54.6223126576819,2,The Falls
BGR,2005,52.68075193769872,2,The Falls
BGR,2006,39.659809896427504,2,The Falls
BGR,2007,37.51773540002674,2,The Falls
BGR,2008,42.78129773974211,2,The Falls
BGR,2009,45.4110383958842,1,The Adapters
BGR,2010,44.67329155201089,1,The Adapters
BGR,2011,44.159349565507476,1,The Adapters
BGR,2012,45.74253893180617,1,The Adapters
BGR,2013,48.25249354312173,1,The Adapters
BGR,2014,50.417885777338675,1,The Adapters
BGR,2015,48.0177456614646,1,The Adapters
BGR,2016,45.91925640623676,1,The Adapters
BGR,2017,47.31946686426185,1,The Adapters
BGR,2018,47.08526197748502,1,The Adapters
BGR,2019,48.03511450866971,1,The Adapters
BGR,2020,48.55023326694343,1,The Adapters
BGR,2021,49.44147412038946,1,The Adapters
BGR,2022,47.123640266996766,1,The Adapters
BGR,2023,46.448141804233025,1,The Adapters
BGR,2024,46.5014177642573,1,The Adapters
BGR,2025,46.38206867039514,1,The Adapters
BHR,2000,34.12962755213601,2,The Falls
BHR,2001,29.142873023923656,2,The Falls
BHR,2002,29.094966362609973,2,The Falls
BHR,2003,25.38714913137119,2,The Falls
BHR,2004,22.427543427653433,2,The Falls
BHR,2005,24.199182669082003,2,The Falls
BHR,2006,22.144063909550823,1,The Adapters
BHR,2007,22.770251105365404,1,The Adapters
BHR,2008,20.94110877212504,1,The Adapters
BHR,2009,28.832346259159802,1,The Adapters
BHR,2010,28.308230745343526,1,The Adapters
BHR,2011,23.7570250407622,1,The Adapters
BHR,2012,26.40405869312678,1,The Adapters
BHR,2013,26.07311249505308,1,The Adapters
BHR,2014,27.18018173964586,1,The Adapters
BHR,2015,29.107769496347192,1,The Adapters
BHR,2016,31.026969339065314,1,The Adapters
BHR,2017,27.081476995246245,1,The Adapters
BHR,2018,27.746875212285705,1,The Adapters
BHR,2019,24.706014757060924,1,The Adapters
BHR,2020,27.98183970213034,1,The Adapters
BHR,2021,23.706998305312233,1,The Adapters
BHR,2022,21.355535826404605,1,The Adapters
BHR,2023,22.506282915445226,1,The Adapters
BHR,2024,21.931109860094104,1,The Adapters
BHR,2025,23.105547553799934,1,The Adapters
BHS,2000,35.67741537873025,1,The Adapters
BHS,2001,32.782215876533954,1,The Adapters
BHS,2002,34.76938443589733,1,The Adapters
BHS,2003,35.0963605378405,1,The Adapters
BHS,2004,37.500020762689644,1,The Adapters
BHS,2005,36.339763701144,1,The Adapters
BHS,2006,38.88456535471915,1,The Adapters
BHS,2007,35.559972215574675,1,The Adapters
BHS,2008,34.20156503995746,1,The Adapters
BHS,2009,32.79213192321135,1,The Adapters
BHS,2010,32.28143256700674,1,The Adapters
BHS,2011,31.656844909558018,1,The Adapters
BHS,2012,34.0651662657435,1,The Adapters
BHS,2013,31.606964482070072,1,The Adapters
BHS,2014,32.09240946301199,1,The Adapters
BHS,2015,30.553663490642872,1,The Adapters
BHS,2016,32.834405600791925,1,The Adapters
BHS,2017,34.69747198784295,1,The Adapters
BHS,2018,33.31034156603421,1,The Adapters
BHS,2019,33.42368223352598,1,The Adapters
BHS,2020,35.9411253795595,1,The Adapters
BHS,2021,35.97587318752099,1,The Adapters
BHS,2022,34.95634097425183,1,The Adapters
BHS,2023,33.68134638689725,1,The Adapters
BHS,2024,34.063173899427674,1,The Adapters
BHS,2025,34.222038415092946,1,The Adapters
BIH,2000,55.73824622808725,2,The Falls
BIH,2001,64.97484724266955,2,The Falls
BIH,2002,67.84899206876204,2,The Falls
BIH,2003,72.82357047625533,0,The Wins
BIH,2004,63.53718619455342,0,The Wins
BIH,2005,65.31574497517929,2,The Falls
