iso_alpha3,year,employment_share_agriculture,employment_share_industry,employment_share_services,employment_to_pop_ratio,gdp_growth_pct,gdp_per_capita_usd,gdp_per_person_employed,gini_index,govt_expenditure_pct_gdp,inflation_cpi_pct,labor_force_participation,rd_expenditure_pct_gdp,trade_openness_pct_gdp,unemployment_rate
SVN,2020,4.1069573929314,30.0356266183483,65.8574159887203,54.937,-4.08500094942896,25392.0651093612,91083.4812172028,24.0,49.1075307851423,-0.05485681576061,57.811,2.15559,147.549008584942,4.971
SVN,2021,4.0502972584825,30.0167884851451,65.9329142563724,55.61,8.41686457725321,29192.8401933019,97320.3692815792,24.3,46.6078624054164,1.91706506089259,58.38,2.13847,161.788727511439,4.744
SVN,2022,4.30916942372828,30.1640877334989,65.5267428427728,56.684,2.66850555542486,28360.3041467268,97762.5823626093,24.3,43.55354475193,8.83369886749452,59.053,2.1,186.647076274632,4.011
SVN,2023,4.02423309323114,32.1154950731268,63.860271833642,55.936,2.3758326648385,32660.4753581346,100825.022382854,24.7,42.8744911319917,7.44687717385838,58.057,2.13385,160.1596693009,3.652
SVN,2024,3.77300862928961,32.055500354017,64.1713918522529,55.809,1.73139722479493,34301.0318686594,102210.592847293,,,1.96562656432512,57.953,,155.657928684474,3.7
SVN,2025,3.65722292857291,31.9684193523133,64.3742586208093,55.737,,,,,,,57.565,,,3.175
SWE,2000,2.90642827417337,24.3713726234531,72.7221755240575,58.605,4.63112136551369,29632.5890811623,101007.416914499,27.0,34.5257236562153,0.899143734041715,61.994,,81.4721590850121,5.466
SWE,2001,2.64170184306761,23.7468284815655,73.6114466453701,59.723,1.36080642694121,27259.3174300217,100001.414484439,26.5,33.2251802949875,2.40595834145436,62.688,3.87215,80.5691828117714,4.73
SWE,2002,2.52416252659831,22.9650395929941,74.5107978804076,59.541,2.27772867861897,29957.7776664916,102052.231466979,26.2,33.5622239455917,2.15848213589266,62.651,,77.0853186972402,4.965
SWE,2003,2.54454411975321,22.5946681078884,74.8607647839213,59.16,1.88102769675844,37292.2419727801,104016.224410954,25.3,33.7314587567233,1.92565534892383,62.64,3.5823,75.3282174864238,5.555
SWE,2004,2.4851427773414,22.3653106759045,75.1495465467541,58.233,4.17958419343711,42758.0048564929,109352.791927726,26.1,32.7639627372535,0.373659828721824,62.41,3.36628,78.7358819187356,6.693
SWE,2005,2.28102345082283,21.9486029654294,75.7703735837478,58.297,2.79313782840156,43378.4077394363,111453.62629404,26.8,33.1441717424628,0.453170852576138,63.236,3.3641,84.167923018031,7.81
SWE,2006,2.22676602837403,21.9134872252297,75.8597693224454,58.86,4.67607488877992,46531.3762240485,114506.501274561,26.4,32.0215339283188,1.36021468627693,63.335,3.47963,88.3302608918239,7.066
SWE,2007,2.25118832765409,21.6458706576697,76.1029410146762,59.777,3.22486814096095,53568.3057787832,115205.294296483,27.1,31.2582065646479,2.21216883436733,63.702,3.24176,89.5469236610223,6.161
SWE,2008,2.12171632149708,21.3255860487979,76.552697629705,59.883,-0.923113250067971,55817.1759726485,112824.475227555,28.1,31.7363592327897,3.43704910602875,63.865,3.49083,92.8083687095596,6.235
SWE,2009,2.17699819166567,20.1589628277453,77.6640167679084,58.068,-4.25561384207619,46707.6425044751,110321.565165389,27.3,33.9401378102875,-0.494460544378051,63.36,3.41266,81.958313967393,8.351
SWE,2010,2.10051133008918,19.9026664125181,77.9968222573927,57.755,5.75076477579255,52542.5759090299,116273.593052681,27.7,33.2649399664481,1.15798802715626,63.196,3.18756,85.0914849272733,8.61
SWE,2011,1.9894450705288,19.9251069173336,78.0854480121376,58.573,3.16388567406926,60379.4814599322,117471.123570835,27.6,32.4394700197068,2.9611507382214,63.531,3.20686,86.3907448060188,7.804
SWE,2012,2.0594226430031,19.6448133511241,78.2957856001292,58.46,-0.414397702454409,57749.5615420853,116519.12250535,27.6,33.0087166179576,0.888377506923735,63.527,3.24636,85.2980605424359,7.976
SWE,2013,2.03326318839205,19.1610853044105,78.8056515071975,58.712,1.13766671801426,60843.9888799369,116601.233465456,28.8,33.7232350480003,-0.044292970148682,63.854,3.27557,81.6402521329964,8.052
